[Epoch 1] Step 100/4688 | Batch Loss: 0.6728
[Epoch 1] Step 200/4688 | Batch Loss: 0.7001
[Epoch 1] Step 300/4688 | Batch Loss: 0.7240
[Epoch 1] Step 400/4688 | Batch Loss: 0.6354
[Epoch 1] Step 500/4688 | Batch Loss: 0.5351
[Epoch 1] Step 600/4688 | Batch Loss: 0.6622
[Epoch 1] Step 700/4688 | Batch Loss: 0.6268
[Epoch 1] Step 800/4688 | Batch Loss: 0.5122
[Epoch 1] Step 900/4688 | Batch Loss: 0.5623
[Epoch 1] Step 1000/4688 | Batch Loss: 0.5330
[Epoch 1] Step 1100/4688 | Batch Loss: 0.5717
[Epoch 1] Step 1200/4688 | Batch Loss: 0.6342
[Epoch 1] Step 1300/4688 | Batch Loss: 0.6877
[Epoch 1] Step 1400/4688 | Batch Loss: 0.4516
[Epoch 1] Step 1500/4688 | Batch Loss: 0.5400
[Epoch 1] Step 1600/4688 | Batch Loss: 0.5222
[Epoch 1] Step 1700/4688 | Batch Loss: 0.5444
[Epoch 1] Step 1800/4688 | Batch Loss: 0.6252
[Epoch 1] Step 1900/4688 | Batch Loss: 0.3850
[Epoch 1] Step 2000/4688 | Batch Loss: 0.3801
[Epoch 1] Step 2100/4688 | Batch Loss: 0.4537
[Epoch 1] Step 2200/4688 | Batch Loss: 0.7143
[Epoch 1] Step 2300/4688 | Batch Loss: 0.3849
[Epoch 1] Step 2400/4688 | Batch Loss: 0.4597
[Epoch 1] Step 2500/4688 | Batch Loss: 0.6840
[Epoch 1] Step 2600/4688 | Batch Loss: 0.3927
[Epoch 1] Step 2700/4688 | Batch Loss: 0.5487
[Epoch 1] Step 2800/4688 | Batch Loss: 0.6012
[Epoch 1] Step 2900/4688 | Batch Loss: 0.4059
[Epoch 1] Step 3000/4688 | Batch Loss: 0.5468
[Epoch 1] Step 3100/4688 | Batch Loss: 0.5605
[Epoch 1] Step 3200/4688 | Batch Loss: 0.4241
[Epoch 1] Step 3300/4688 | Batch Loss: 0.3321
[Epoch 1] Step 3400/4688 | Batch Loss: 0.6851
[Epoch 1] Step 3500/4688 | Batch Loss: 0.2186
[Epoch 1] Step 3600/4688 | Batch Loss: 0.5025
[Epoch 1] Step 3700/4688 | Batch Loss: 0.3012
[Epoch 1] Step 3800/4688 | Batch Loss: 0.5371
[Epoch 1] Step 3900/4688 | Batch Loss: 0.4701
[Epoch 1] Step 4000/4688 | Batch Loss: 0.3525
[Epoch 1] Step 4100/4688 | Batch Loss: 0.4491
[Epoch 1] Step 4200/4688 | Batch Loss: 0.3957
[Epoch 1] Step 4300/4688 | Batch Loss: 0.3992
[Epoch 1] Step 4400/4688 | Batch Loss: 0.2899
[Epoch 1] Step 4500/4688 | Batch Loss: 0.3548
[Epoch 1] Step 4600/4688 | Batch Loss: 0.4516
[Epoch 1] Average Loss: 0.5317
[Epoch 2] Step 100/4688 | Batch Loss: 0.4266
[Epoch 2] Step 200/4688 | Batch Loss: 0.4135
[Epoch 2] Step 300/4688 | Batch Loss: 0.3751
[Epoch 2] Step 400/4688 | Batch Loss: 0.4632
[Epoch 2] Step 500/4688 | Batch Loss: 0.4661
[Epoch 2] Step 600/4688 | Batch Loss: 0.3037
[Epoch 2] Step 700/4688 | Batch Loss: 0.4430
